Kiril     | Ivanov   | C#
Stefka    | Nikolova | iOS
Stela     | Mineva   | iOS
Milena    | Petrova  | C#
Ivan      | Grigorov | C#
Ivan      | Bogdanov | SQL
Kiril     | Dinchev  | iOS
Karina    | Nikolova | SQL
Kalina    | Mitova   | C#
Pavleta   | Taseva   | SQL
Andrei    | Angelov  | iOS
Ivan      | Kolev    | SQL
Petar     | Ivanov   | C#
Kamelia   | Nikolova | SQL
Teodora   | Bachkova | Java
Maria     | Petrova  | Java
Georgi    | Bezi     | Java
Pavel     | Kolev    | SQL
Ivailo    | Kenov    | C#
Nikolai   | Kostov   | SQL
Doncho    | Minkov   | iOS
Rumyana   | Dikova   | C#
Evlogi    | Hristov  | Java
Trendafil | Kolev    | iOS
